Group,PID,AT,BT,CT,TAT,WT
IRR,455,908,16,13993,13085,13069
IRR,456,910,70,43740,42830,42760
IRR,457,912,48,34871,33959,33911
IRR,458,914,11,5478,4564,4553
IRR,459,916,11,5489,4573,4562
IRR,460,918,81,46338,45420,45339
IRR,461,920,95,49710,48790,48695
IRR,462,922,33,21883,20961,20928
IRR,463,924,56,39845,38921,38865
IRR,464,926,44,28918,27992,27948
IRR,465,928,87,48727,47799,47712
IRR,466,930,54,34935,34005,33951
IRR,467,932,80,46364,45432,45352
IRR,468,934,61,39876,38942,38881
IRR,469,936,84,47870,46934,46850
IRR,470,938,81,46383,45445,45364
IRR,471,940,83,47875,46935,46852
IRR,472,942,56,39922,38980,38924
IRR,473,944,18,14191,13247,13229
IRR,474,946,20,14201,13255,13235
IRR,475,948,60,39932,38984,38924
IRR,476,950,53,35041,34091,34038
IRR,477,952,71,43839,42887,42816
IRR,478,954,52,35063,34109,34057
IRR,479,956,34,22066,21110,21076
IRR,480,958,43,29071,28113,28070
IRR,481,960,76,46397,45437,45361
IRR,482,962,95,49712,48750,48655
IRR,483,964,55,39967,39003,38948
IRR,484,966,87,48734,47768,47681
IRR,485,968,33,22139,21171,21138
IRR,486,970,31,22150,21180,21149
IRR,487,972,24,14355,13383,13359
IRR,488,974,48,35111,34137,34089
IRR,489,976,79,46422,45446,45367
IRR,490,978,94,49713,48735,48641
IRR,491,980,27,22187,21207,21180
IRR,492,982,53,35144,34162,34109
IRR,493,984,35,29167,28183,28148
IRR,494,986,42,29179,28193,28151
IRR,495,988,56,40003,39015,38959
IRR,496,990,92,49522,48532,48440
IRR,497,992,30,22257,21265,21235
IRR,498,994,34,22271,21277,21243
IRR,499,996,51,35185,34189,34138
IRR,500,998,42,29231,28233,28191
IRR,501,1000,14,5973,4973,4959
IRR,502,1002,96,49857,48855,48759
IRR,503,1004,33,22324,21320,21287
IRR,504,1006,34,22338,21332,21298
IRR,505,1008,92,49525,48517,48425
IRR,506,1010,49,35224,34214,34165
IRR,507,1012,38,29288,28276,28238
IRR,508,1014,81,46465,45451,45370
IRR,509,1016,24,14599,13583,13559
IRR,510,1018,48,35242,34224,34176
IRR,511,1020,38,29316,28296,28258
IRR,512,1022,16,14635,13613,13597
IRR,513,1024,26,22424,21400,21374
IRR,514,1026,46,35258,34232,34186
IRR,515,1028,99,49954,48926,48827
IRR,516,1030,85,47924,46894,46809
IRR,517,1032,22,14697,13665,13643
IRR,518,1034,69,43958,42924,42855
IRR,519,1036,57,40110,39074,39017
IRR,520,1038,93,49529,48491,48398
IRR,521,1040,85,47937,46897,46812
IRR,522,1042,95,49719,48677,48582
IRR,523,1044,37,29413,28369,28332
IRR,524,1046,69,43997,42951,42882
IRR,525,1048,78,46513,45465,45387
IRR,526,1050,31,22552,21502,21471
IRR,527,1052,82,47947,46895,46813
IRR,528,1054,97,49861,48807,48710
IRR,529,1056,85,47960,46904,46819
IRR,530,1058,24,14841,13783,13759
IRR,531,1060,44,29487,28427,28383
IRR,532,1062,37,29494,28432,28395
IRR,533,1064,92,49534,48470,48378
IRR,534,1066,44,29518,28452,28408
IRR,535,1068,82,47971,46903,46821
IRR,536,1070,60,40229,39159,39099
IRR,537,1072,100,50014,48942,48842
IRR,538,1074,67,44074,43000,42933
IRR,539,1076,62,40261,39185,39123
IRR,540,1078,55,40266,39188,39133
IRR,541,1080,66,44080,43000,42934
IRR,542,1082,19,14990,13908,13889
IRR,543,1084,67,44092,43008,42941
IRR,544,1086,57,40303,39217,39160
IRR,545,1088,83,47983,46895,46812
IRR,546,1090,72,44114,43024,42952
IRR,547,1092,99,50015,48923,48824
IRR,548,1094,91,49539,48445,48354
IRR,549,1096,65,44149,43053,42988
IRR,550,1098,77,46592,45494,45417
IRR,551,1100,15,15085,13985,13970
IRR,552,1102,18,15103,14001,13983
IRR,553,1104,51,35603,34499,34448
IRR,554,1106,20,15123,14017,13997
IRR,555,1108,100,50017,48909,48809
IRR,556,1110,35,29733,28623,28588
IRR,557,1112,95,49868,48756,48661
IRR,558,1114,57,40413,39299,39242
IRR,559,1116,49,35642,34526,34477
IRR,560,1118,28,22904,21786,21758
IRR,561,1120,29,22913,21793,21764
IRR,562,1122,95,49869,48747,48652
IRR,563,1124,44,29787,28663,28619
IRR,564,1126,39,29796,28670,28631
IRR,565,1128,19,15232,14104,14085
IRR,566,1130,40,29806,28676,28636
IRR,567,1132,85,48021,46889,46804
IRR,568,1134,50,35672,34538,34488
IRR,569,1136,59,40442,39306,39247
IRR,570,1138,11,6784,5646,5635
IRR,571,1140,79,46629,45489,45410
IRR,572,1142,95,49870,48728,48633
IRR,573,1144,61,40473,39329,39268
IRR,574,1146,43,29886,28740,28697
IRR,575,1148,75,46641,45493,45418
IRR,576,1150,87,48802,47652,47565
IRR,577,1152,65,44244,43092,43027
IRR,578,1154,56,40509,39355,39299
IRR,579,1156,19,15371,14215,14196
IRR,580,1158,40,29936,28778,28738
IRR,581,1160,94,49735,48575,48481
IRR,582,1162,69,44263,43101,43032
IRR,583,1164,80,48042,46878,46798
IRR,584,1166,82,48047,46881,46799
IRR,585,1168,41,29987,28819,28778
IRR,586,1170,97,49961,48791,48694
IRR,587,1172,19,15470,14298,14279
IRR,588,1174,83,48059,46885,46802
IRR,589,1176,97,49963,48787,48690
IRR,590,1178,18,15498,14320,14302
IRR,591,1180,79,48068,46888,46809
IRR,592,1182,95,49876,48694,48599
IRR,593,1184,12,7066,5882,5870
IRR,594,1186,60,40609,39423,39363
IRR,595,1188,89,49297,48109,48020
IRR,596,1190,14,7100,5910,5896
IRR,597,1192,40,30072,28880,28840
IRR,598,1194,32,23249,22055,22023
IRR,599,1196,96,49964,48768,48672
IRR,600,1198,17,15585,14387,14370
IRR,601,1200,11,7161,5961,5950
IRR,602,1202,12,7183,5981,5969
IRR,603,1204,41,30093,28889,28848
IRR,604,1206,56,40635,39429,39373
IRR,605,1208,65,44353,43145,43080
IRR,606,1210,28,23297,22087,22059
IRR,607,1212,69,44373,43161,43092
IRR,608,1214,34,23331,22117,22083
IRR,609,1216,92,49744,48528,48436
IRR,610,1218,98,50018,48800,48702
IRR,611,1220,30,23361,22141,22111
IRR,612,1222,67,44398,43176,43109
IRR,613,1224,54,35956,34732,34678
IRR,614,1226,31,23402,22176,22145
IRR,615,1228,79,48101,46873,46794
IRR,616,1230,45,35971,34741,34696
IRR,617,1232,70,44417,43185,43115
IRR,618,1234,16,15780,14546,14530
IRR,619,1236,77,46747,45511,45434
IRR,620,1238,76,46754,45516,45440
IRR,621,1240,26,23468,22228,22202
IRR,622,1242,14,7427,6185,6171
IRR,623,1244,43,30246,29002,28959
IRR,624,1246,44,30260,29014,28970
IRR,625,1248,23,15850,14602,14579
IRR,626,1250,25,23493,22243,22218
IRR,627,1252,16,15878,14626,14610
IRR,628,1254,93,49748,48494,48401
IRR,629,1256,90,49564,48308,48218
IRR,630,1258,87,48847,47589,47502
IRR,631,1260,96,49968,48708,48612
IRR,632,1262,84,48854,47592,47508
IRR,633,1264,35,30315,29051,29016
IRR,634,1266,42,30327,29061,29019
IRR,635,1268,12,7579,6311,6299
IRR,636,1270,81,48134,46864,46783
IRR,637,1272,64,40809,39537,39473
IRR,638,1274,92,49752,48478,48386
IRR,639,1276,61,40830,39554,39493
IRR,640,1278,32,23615,22337,22305
IRR,641,1280,28,23623,22343,22315
IRR,642,1282,36,30383,29101,29065
IRR,643,1284,39,30392,29108,29069
IRR,644,1286,65,44503,43217,43152
IRR,645,1288,98,50020,48732,48634
IRR,646,1290,23,16085,14795,14772
IRR,647,1292,63,40863,39571,39508
IRR,648,1294,50,36149,34855,34805
IRR,649,1296,88,49324,48028,47940
IRR,650,1298,27,23720,22422,22395
IRR,651,1300,52,36171,34871,34819
IRR,652,1302,94,49886,48584,48490
IRR,653,1304,12,7799,6495,6483
IRR,654,1306,85,48874,47568,47483
IRR,655,1308,98,50022,48714,48616
IRR,656,1310,32,23782,22472,22440
IRR,657,1312,85,48882,47570,47485
IRR,658,1314,20,16225,14911,14891
IRR,659,1316,87,49332,48016,47929
IRR,660,1318,94,49890,48572,48478
IRR,661,1320,89,49577,48257,48168
IRR,662,1322,22,16277,14955,14933
IRR,663,1324,13,7922,6598,6585
IRR,664,1326,46,36267,34941,34895
IRR,665,1328,37,30582,29254,29217
IRR,666,1330,12,7954,6624,6612
IRR,667,1332,86,48899,47567,47481
IRR,668,1334,91,49761,48427,48336
IRR,669,1336,77,46888,45552,45475
IRR,670,1338,98,50024,48686,48588
IRR,671,1340,92,49765,48425,48333
IRR,672,1342,48,36325,34983,34935
IRR,673,1344,47,36332,34988,34941
IRR,674,1346,21,16388,15042,15021
IRR,675,1348,78,46911,45563,45485
IRR,676,1350,26,23958,22608,22582
IRR,677,1352,48,36357,35005,34957
IRR,678,1354,66,44644,43290,43224
IRR,679,1356,14,8115,6759,6745
IRR,680,1358,78,46920,45562,45484
IRR,681,1360,50,36387,35027,34977
IRR,682,1362,63,41059,39697,39634
IRR,683,1364,79,48207,46843,46764
IRR,684,1366,50,36427,35061,35011
IRR,685,1368,43,30774,29406,29363
IRR,686,1370,13,8198,6828,6815
IRR,687,1372,67,44679,43307,43240
IRR,688,1374,29,24091,22717,22688
IRR,689,1376,57,41086,39710,39653
IRR,690,1378,30,24111,22733,22703
IRR,691,1380,23,16571,15191,15168
IRR,692,1382,29,24120,22738,22709
IRR,693,1384,18,16595,15211,15193
IRR,694,1386,33,24133,22747,22714
IRR,695,1388,60,41096,39708,39648
IRR,696,1390,65,44684,43294,43229
IRR,697,1392,35,30819,29427,29392
IRR,698,1394,47,36474,35080,35033
IRR,699,1396,19,16654,15258,15239
IRR,700,1398,86,48916,47518,47432
IRR,701,1400,53,36497,35097,35044
IRR,702,1402,28,24201,22799,22771
IRR,703,1404,35,30854,29450,29415
IRR,704,1406,84,48919,47513,47429
IRR,705,1408,59,41135,39727,39668
IRR,706,1410,25,24242,22832,22807
IRR,707,1412,27,24249,22837,22810
IRR,708,1414,72,44714,43300,43228
IRR,709,1416,15,16769,15353,15338
IRR,710,1418,89,49584,48166,48077
IRR,711,1420,10,8488,7068,7058
IRR,712,1422,38,30912,29490,29452
IRR,713,1424,51,36571,35147,35096
IRR,714,1426,53,36584,35158,35105
IRR,715,1428,62,41180,39752,39690
IRR,716,1430,63,41193,39763,39700
IRR,717,1432,25,24344,22912,22887
IRR,718,1434,78,46957,45523,45445
IRR,719,1436,79,48225,46789,46710
IRR,720,1438,65,44746,43308,43243
IRR,721,1440,92,49767,48327,48235
IRR,722,1442,40,31012,29570,29530
IRR,723,1444,14,8640,7196,7182
IRR,724,1446,20,16917,15471,15451
IRR,725,1448,33,24407,22959,22926
IRR,726,1450,79,48233,46783,46704
IRR,727,1452,20,16947,15495,15475
IRR,728,1454,77,46986,45532,45455
IRR,729,1456,73,46990,45534,45461
IRR,730,1458,91,49768,48310,48219
IRR,731,1460,38,31060,29600,29562
IRR,732,1462,34,24471,23009,22975
IRR,733,1464,50,36694,35230,35180
IRR,734,1466,58,41281,39815,39757
IRR,735,1468,70,44801,43333,43263
IRR,736,1470,71,44812,43342,43271
IRR,737,1472,94,49894,48422,48328
IRR,738,1474,71,44832,43358,43287
IRR,739,1476,35,31125,29649,29614
IRR,740,1478,63,41334,39856,39793
IRR,741,1480,41,31146,29666,29625
IRR,742,1482,52,36766,35284,35232
IRR,743,1484,83,48937,47453,47370
IRR,744,1486,44,31180,29694,29650
IRR,745,1488,84,48940,47452,47368
IRR,746,1490,65,44855,43365,43300
IRR,747,1492,18,17160,15668,15650
IRR,748,1494,93,49895,48401,48308
IRR,749,1496,72,44876,43380,43308
IRR,750,1498,92,49774,48276,48184
IRR,751,1500,77,47040,45540,45463
IRR,752,1502,66,44900,43398,43332
IRR,753,1504,95,49975,48471,48376
IRR,754,1506,68,44917,43411,43343
IRR,755,1508,27,24712,23204,23177
IRR,756,1510,30,24722,23212,23182
IRR,757,1512,62,41446,39934,39872
IRR,758,1514,35,31285,29771,29736
IRR,759,1516,54,36890,35374,35320
IRR,760,1518,34,24776,23258,23224
IRR,761,1520,47,36907,35387,35340
IRR,762,1522,24,17334,15812,15788
IRR,763,1524,35,31320,29796,29761
IRR,764,1526,76,47054,45528,45452
IRR,765,1528,52,36929,35401,35349
IRR,766,1530,42,31360,29830,29788
IRR,767,1532,29,24845,23313,23284
IRR,768,1534,58,41464,39930,39872
IRR,769,1536,18,17412,15876,15858
IRR,770,1538,74,47066,45528,45454
IRR,771,1540,34,24889,23349,23315
IRR,772,1542,77,47074,45532,45455
IRR,773,1544,99,50043,48499,48400
IRR,774,1546,42,31422,29876,29834
IRR,775,1548,88,49374,47826,47738
IRR,776,1550,59,41523,39973,39914
IRR,777,1552,17,17509,15957,15940
IRR,778,1554,87,49376,47822,47735
IRR,779,1556,68,44988,43432,43364
IRR,780,1558,36,31478,29920,29884
IRR,781,1560,62,41565,40005,39943
IRR,782,1562,14,9330,7768,7754
IRR,783,1564,50,37049,35485,35435
IRR,784,1566,96,49979,48413,48317
IRR,785,1568,83,48972,47404,47321
IRR,786,1570,68,45023,43453,43385
IRR,787,1572,21,17620,16048,16027
IRR,788,1574,62,41607,40033,39971
IRR,789,1576,34,25076,23500,23466
IRR,790,1578,88,49382,47804,47716
IRR,791,1580,95,49980,48400,48305
IRR,792,1582,70,45051,43469,43399
IRR,793,1584,48,37132,35548,35500
IRR,794,1586,33,25129,23543,23510
IRR,795,1588,86,48985,47397,47311
IRR,796,1590,37,31615,30025,29988
IRR,797,1592,83,48987,47395,47312
IRR,798,1594,27,25176,23582,23555
IRR,799,1596,45,37157,35561,35516
IRR,800,1598,10,9550,7952,7942
IRR,801,1600,95,49981,48381,48286
IRR,802,1602,95,49982,48380,48285
IRR,803,1604,49,37199,35595,35546
IRR,804,1606,14,9594,7988,7974
IRR,805,1608,96,49984,48376,48280
IRR,806,1610,62,41699,40089,40027
IRR,807,1612,99,50044,48432,48333
IRR,808,1614,73,47177,45563,45490
IRR,809,1616,87,49399,47783,47696
IRR,810,1618,35,31730,30112,30077
IRR,811,1620,97,50029,48409,48312
IRR,812,1622,80,48352,46730,46650
IRR,813,1624,57,41756,40132,40075
IRR,814,1626,71,45152,43526,43455
IRR,815,1628,96,49990,48362,48266
IRR,816,1630,45,37304,35674,35629
IRR,817,1632,90,49616,47984,47894
IRR,818,1634,95,49991,48357,48262
IRR,819,1636,91,49797,48161,48070
IRR,820,1638,19,17982,16344,16325
IRR,821,1640,15,17987,16347,16332
IRR,822,1642,65,45193,43551,43486
IRR,823,1644,74,47231,45587,45513
IRR,824,1646,93,49918,48272,48179
IRR,825,1648,85,49035,47387,47302
IRR,826,1650,59,41855,40205,40146
IRR,827,1652,51,37395,35743,35692
IRR,828,1654,14,9872,8218,8204
IRR,829,1656,90,49801,48145,48055
IRR,830,1658,76,47258,45600,45524
IRR,831,1660,83,49042,47382,47299
IRR,832,1662,22,18100,16438,16416
IRR,833,1664,48,37433,35769,35721
IRR,834,1666,33,25504,23838,23805
IRR,835,1668,44,31940,30272,30228
IRR,836,1670,74,47269,45599,45525
IRR,837,1672,51,37454,35782,35731
IRR,838,1674,55,41900,40226,40171
IRR,839,1676,13,10009,8333,8320
IRR,840,1678,72,45268,43590,43518
IRR,841,1680,86,49047,47367,47281
IRR,842,1682,30,25584,23902,23872
IRR,843,1684,78,48400,46716,46638
IRR,844,1686,71,45297,43611,43540
IRR,845,1688,61,41963,40275,40214
IRR,846,1690,86,49421,47731,47645
IRR,847,1692,57,41980,40288,40231
IRR,848,1694,99,50046,48352,48253
IRR,849,1696,88,49628,47932,47844
IRR,850,1698,49,37580,35882,35833
IRR,851,1700,69,45333,43633,43564
IRR,852,1702,45,37595,35893,35848
IRR,853,1704,77,47308,45604,45527
IRR,854,1706,97,50047,48341,48244
IRR,855,1708,47,37635,35927,35880
IRR,856,1710,37,32157,30447,30410
IRR,857,1712,38,32165,30453,30415
IRR,858,1714,43,32178,30464,30421
IRR,859,1716,64,42044,40328,40264
IRR,860,1718,55,42049,40331,40276
IRR,861,1720,34,25814,24094,24060
IRR,862,1722,15,18435,16713,16698
IRR,863,1724,51,37666,35942,35891
IRR,864,1726,26,25830,24104,24078
IRR,865,1728,96,50035,48307,48211
IRR,866,1730,59,42068,40338,40279
IRR,867,1732,87,49634,47902,47815
IRR,868,1734,48,37709,35975,35927
IRR,869,1736,99,50055,48319,48220
IRR,870,1738,67,45383,43645,43578
IRR,871,1740,46,37735,35995,35949
IRR,872,1742,10,10399,8657,8647
IRR,873,1744,46,37741,35997,35951
IRR,874,1746,42,32324,30578,30536
IRR,875,1748,45,37746,35998,35953
IRR,876,1750,65,45396,43646,43581
IRR,877,1752,11,10460,8708,8697
IRR,878,1754,72,47342,45588,45516
IRR,879,1756,73,47347,45591,45518
IRR,880,1758,32,25992,24234,24202
IRR,881,1760,83,49081,47321,47238
IRR,882,1762,43,32397,30635,30592
IRR,883,1764,93,50001,48237,48144
IRR,884,1766,97,50051,48285,48188
IRR,885,1768,36,32423,30655,30619
IRR,886,1770,89,49815,48045,47956
IRR,887,1772,94,50040,48268,48174
IRR,888,1774,17,18704,16930,16913
IRR,889,1776,53,37849,36073,36020
IRR,890,1778,60,42198,40420,40360
IRR,891,1780,11,10630,8850,8839
IRR,892,1782,33,26105,24323,24290
IRR,893,1784,99,50057,48273,48174
IRR,894,1786,49,37888,36102,36053
IRR,895,1788,48,37896,36108,36060
IRR,896,1790,57,42221,40431,40374
IRR,897,1792,16,18800,17008,16992
IRR,898,1794,35,32528,30734,30699
IRR,899,1796,11,10721,8925,8914
IRR,900,1798,86,49647,47849,47763
